Timestamp,Temperature (°C),Vibration (mm/s),Pressure (Pa),RPM,Maintenance Required,Temp_Change,Vib_Change
2019-01-01 00:00:00,0.5487929140435688,0.5098396839648885,0.6199176280657488,0.7411607738492326,1,0.5011289865295243,0.4996187253822002
2019-01-01 01:00:00,0.7151845001371002,0.5875731026909492,0.8021209230645994,0.29286190793862565,1,0.5848824060811504,0.5386298792717472
2019-01-01 02:00:00,0.6027478848170424,0.2944533769196297,0.9655458826500976,0.6244162775183454,1,0.44453387113365217,0.35251418633671605
2019-01-01 03:00:00,0.5448622216711321,0.5000407954724474,0.5199553149649025,0.9319546364242827,0,0.47199216329641736,0.6027944579610357
2019-01-01 04:00:00,0.42362238110793027,0.03164888182012433,0.3236629064378169,0.7998665777184789,0,0.44010275634890567,0.26455240096767657
2019-01-01 05:00:00,0.6458826979594912,0.8659788318514194,0.4199125861410522,0.45230153435623743,0,0.6130040037944136,0.9183340554004451
2019-01-01 06:00:00,0.43755610973922465,0.9067192258225742,0.017201245775251728,0.15810540360240155,0,0.39626752954958433,0.5200646263187129
2019-01-01 07:00:00,0.8917848228989429,0.9835926077878948,0.030091520071446887,0.9526350900600399,0,0.7297655953799043,0.5381982627678836
2019-01-01 08:00:00,0.9636813766882064,0.8757703618365714,0.42266177373249914,0.8832555036691127,0,0.5373182096459108,0.4455072467098557
2019-01-01 09:00:00,0.38340530016680896,0.959767992177579,0.5097352433809501,0.8719146097398264,0,0.20904627469486975,0.5417736252604394
2019-01-01 10:00:00,0.7917274049878811,0.1067321829938204,0.053168499616579545,0.6757838559039359,0,0.7066584448403478,0.07151570649098044
2019-01-01 11:00:00,0.5288724474277273,0.36397212626877445,0.44072158846395926,0.0,1,0.3688206044855824,0.6287167012348073
2019-01-01 12:00:00,0.5680257886756277,0.22446797963930304,0.7559826094637883,0.4049366244162774,1,0.5208368713653602,0.4296074249456262
2019-01-01 13:00:00,0.925611656972879,0.5436821415263099,0.12455955060931512,0.0206804536357571,1,0.6811202947222194,0.6598189712633435
